,Vegetation,WF_PM25,RX_PM25,WF_PM10,RX_PM10,WF_CO,RX_CO,WF_NOx,RX_NOx,WF_NH3,RX_NH3,WF_SO2,RX_SO2,WF_VOC,RX_VOC,WF_HEAT,RX_HEAT,WF_CONSF,RX_CONSF
0,Agriculture or Developed,0.088977,0.045327,0.104986,0.053483,1.02481,0.482185,0.014809,0.482185,0.016842,0.008011,0.007943,0.005136,0.242017,0.115145,307910.5053,307910.5053,4.920731939,4.485444901
1,Black cottonwood - Douglas-fir - Quaking aspen,0.3766,0.153954,0.44438,0.181671,4.360343,1.831058,0.060401,1.831058,0.071574,0.029953,0.033047,0.012184,1.028982,0.430569,1199711.804,1199711.804,19.6976868,5.651472623
2,Western hemlock - Western redcedar - Douglas-fir forest,1.096013,0.519802,1.293288,0.613373,13.359889,6.313482,0.108625,6.313482,0.217842,0.102986,0.077873,0.037549,3.13145,1.480515,1627603.156,1627603.156,24.1206144,12.56597972
4,Douglas-fir / Ceanothus forest,0.595513,0.489074,0.702702,0.577109,7.193358,5.906724,0.065607,5.906724,0.117432,0.096425,0.044102,0.036248,1.688049,1.386146,1088979.901,1088979.901,16.36138869,13.48428879
5,Douglas-fir - White fir forest,0.443715,0.233567,0.523603,0.275606,5.069074,2.677268,0.078035,2.677268,0.083369,0.044006,0.040806,0.021228,1.198428,0.632666,1614606.414,1614606.414,26.60499978,13.55700844
6,Oregon white oak - Douglas-fir forest,0.179249,0.085403,0.211513,0.100767,2.023867,0.97662,0.033926,0.97662,0.033336,0.01606,0.017144,0.007825,0.479254,0.230857,710473.4715,710473.4715,11.93233261,5.069947879
7,Douglas-fir - Sugar pine - Tanoak forest,0.566459,0.328119,0.66842,0.387182,6.751394,3.981703,0.071532,3.981703,0.110405,0.064957,0.044437,0.023797,1.587115,0.93382,1281838.248,1281838.248,20.07672007,8.111585724
8,Western hemlock - Douglas-fir - Western redcedar / Vine maple forest,1.843928,1.609307,2.175834,1.89898,22.642198,19.892239,0.166146,19.892239,0.368839,0.323774,0.126488,0.10681,5.302126,4.654223,2420419.161,2420419.161,32.37354332,21.7560086
9,Douglas-fir - Western Hemlock - Western redcedar / Vine maple forest,0.779637,0.489192,0.919984,0.577241,9.464573,5.95008,0.081166,5.95008,0.154399,0.097046,0.056462,0.035106,2.219592,1.395036,1319457.424,1319457.424,19.08935558,11.40964828
10,Western hemlock - Douglas-fir - Sitka spruce forest,1.640742,1.396398,1.936083,1.647754,20.036922,17.234963,0.158892,17.234963,0.326634,0.280571,0.115561,0.093382,4.695362,4.033264,2530354.473,2530354.473,34.27366738,20.14976189
11,Douglas-fir / Western hemlock - Sitka spruce forest,0.556113,0.360097,0.656216,0.424915,6.596966,4.301193,0.073342,4.301193,0.107947,0.070319,0.044481,0.027994,1.551779,1.010833,1378654.516,1378654.516,21.25235965,12.29990556
12,Mountain hemlock - Red fir - Lodgepole pine - White pine forest,0.358826,0.207945,0.423414,0.245377,4.282361,2.539441,0.044747,2.539441,0.070022,0.041402,0.027987,0.014646,1.006524,0.595084,833014.1942,833014.1942,15.53966439,5.241540743
14,Black oak woodland,0.107725,0.02694,0.127124,0.031788,1.123112,0.294616,0.02973,0.294616,0.018702,0.004874,0.01284,0.002836,0.269004,0.070077,672091.6726,672091.6726,11.79427193,2.267408568
15,Jeffrey pine - Red fir - White fir / Greenleaf manzanita - Snowbrush forest,1.20277,0.967482,1.419275,1.141624,14.798457,11.970336,0.105446,11.970336,0.241003,0.194807,0.081715,0.0639,3.464482,2.800375,1422024.155,1422024.155,19.6723287,12.50678505
16,Jeffrey pine - Ponderosa pine - Douglas-fir - Black oak forest,0.201814,0.10517,0.23815,0.124093,2.301402,1.210243,0.035919,1.210243,0.037865,0.019884,0.018679,0.00943,0.544239,0.285838,743057.4171,743057.4171,12.30967413,5.867437568
17,Red fir forest,1.157971,0.949504,1.366404,1.120419,14.155121,11.763279,0.110744,11.763279,0.230728,0.191412,0.081184,0.062295,3.316635,2.751477,1671452.137,1671452.137,23.50206894,11.51506925
18,Douglas-fir / Oceanspray forest,0.168461,0.098737,0.198798,0.116508,1.986376,1.182488,0.023433,1.182488,0.032526,0.019325,0.013804,0.007586,0.467619,0.277804,456997.1903,456997.1903,,
19,White fir - Giant sequoia - Sugar pine forest,0.583097,0.343547,0.688037,0.405385,7.015765,4.184926,0.067,4.184926,0.114589,0.068241,0.043937,0.024483,1.647219,0.980987,1219652.706,1219652.706,21.81802025,9.756953614
20,Western juniper / Huckleberry oak forest,0.155023,0.097487,0.182922,0.115035,1.866148,1.178598,0.01772,1.178598,0.030472,0.019248,0.011661,0.007187,0.438116,0.276549,317728.5408,317728.5408,,
21,Lodgepole pine early seral forest,0.181452,0.117837,0.214122,0.139046,2.113417,1.346095,0.027851,1.346095,0.034665,0.022138,0.015584,0.01083,0.498341,0.318241,561946.0499,561946.0499,8.872571295,7.066285629
22,Lodgepole pine forest,0.301149,0.152859,0.355351,0.180369,3.560342,1.740839,0.040927,1.740839,0.05828,0.028635,0.024419,0.014202,0.837858,0.41174,784052.0108,784052.0108,12.10665116,9.432261971
24,Pacific ponderosa pine - Douglas-fir forest,0.134602,0.079535,0.158821,0.093842,1.532461,0.942991,0.024198,0.942991,0.025215,0.015427,0.012528,0.006368,0.362465,0.221829,498534.5154,498534.5154,8.326678956,3.061608002
25,Pinyon - Juniper forest,0.129124,0.019209,0.152365,0.022673,1.455328,0.209939,0.024692,0.209939,0.023975,0.003476,0.012416,0.002025,0.344709,0.049944,522563.0232,522563.0232,8.725579465,1.624855979
27,Ponderosa pine - Two-needle pine - Juniper forest,0.142242,0.094752,0.167846,0.11181,1.68416,1.156795,0.019084,1.156795,0.02756,0.018862,0.011467,0.00668,0.396255,0.271081,348847.7714,348847.7714,5.597237199,1.996701054
28,Ponderosa pine savanna,0.082865,0.052054,0.09779,0.061421,0.983187,0.624048,0.010914,0.624048,0.016094,0.010197,0.006625,0.003982,0.231267,0.14659,200205.1275,200205.1275,3.156568629,1.664206731
30,Turbinella oak - Ceanothus - Mountain mahogany shrubland,0.035112,0.030835,0.041439,0.036379,0.368344,0.314772,0.00945,0.314772,0.006127,0.005262,0.004119,0.003851,0.08814,0.075621,213401.1149,213401.1149,3.74193116,3.736057505
32,Ponderosa pine / Pinyon pine - Juniper forest,0.165755,0.111721,0.195584,0.131833,1.952268,1.347538,0.023264,1.347538,0.031973,0.022003,0.013635,0.008328,0.459659,0.316282,442454.7845,442454.7845,7.86802371,1.661908526
34,Interior Douglas-fir - Ponderosa pine / Gambel oak forest,0.26989,0.165271,0.318481,0.195021,3.141739,1.925672,0.041597,1.925672,0.051535,0.031587,0.02322,0.014172,0.740879,0.454047,827021.8155,827021.8155,13.28294788,8.0426319
36,Live oak - Blue oak woodland,0.084084,0.061813,0.09923,0.072936,0.940593,0.677371,0.016795,0.677371,0.015526,0.011206,0.008285,0.006468,0.223021,0.161076,359336.8635,359336.8635,6.035211142,5.131483323
37,Ponderosa pine - Jeffrey pine forest,0.390249,0.110467,0.460492,0.130347,4.665335,1.264403,0.047853,1.264403,0.076262,0.020787,0.030222,0.01009,1.096282,0.298847,875773.5772,875773.5772,13.13056924,6.501111965
38,Douglas-fir - Madrone / Tanoak forest,0.289497,0.13589,0.341602,0.160346,3.229238,1.554198,0.058734,1.554198,0.053283,0.025555,0.028755,0.012445,0.765973,0.367381,1254317.929,1254317.929,21.223363,8.058233321
39,Sugar pine - Douglas-fir - Ponderosa pine - Oak forest,0.183263,0.07753,0.216252,0.091482,2.034312,0.883736,0.038176,0.883736,0.033593,0.014535,0.018478,0.007189,0.482868,0.208994,825531.9921,825531.9921,,
40,Tobosa - Grama grassland,0.007793,0.007793,0.009199,0.009195,0.079555,0.079559,0.002316,0.079559,0.001326,0.001327,0.00097,0.000977,0.019108,0.019116,52870.98965,52870.98965,0.935576017,0.935576017
41,Idaho fescue - Bluebunch wheatgrass grassland,0.004956,0.004707,0.005858,0.005555,0.050387,0.047799,0.001493,0.047799,0.000836,0.000797,0.00062,0.000598,0.012114,0.011498,34281.13634,34281.13634,0.608104534,0.576857068
