id,event_id,latitude,longitude,utc_offset,source,type,date_time,event_name,fccs_number,fuelbed_fractions,heat,pm2.5,pm10,co,co2,ch4,nh3,so2,voc,nox,consumption_total,consumption_flaming,consumption_smoldering,consumption_residual,area,elevation,slope,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,canopy_consumption_pct,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,state,county,country
202303070000_202303142359_274432299-274432299,,24.82695,-77.88753,-04:00,VIIRSNOAA375,WF,20230313,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274432299-274432299,,24.82695,-77.88753,-04:00,VIIRSNOAA375,WF,20230314,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274432299-274432299,,24.82695,-77.88753,-04:00,VIIRSNOAA375,WF,20230315,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274432299-274432299,,24.82695,-77.88753,-04:00,VIIRSNOAA375,WF,20230316,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274432299-274432299,,24.82695,-77.88753,-04:00,VIIRSNOAA375,WF,20230317,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274432498-274432498,,25.47574,-76.66148,-04:00,VIIRSNOAA375,WF,20230313,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274432498-274432498,,25.47574,-76.66148,-04:00,VIIRSNOAA375,WF,20230314,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274432498-274432498,,25.47574,-76.66148,-04:00,VIIRSNOAA375,WF,20230315,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274432498-274432498,,25.47574,-76.66148,-04:00,VIIRSNOAA375,WF,20230316,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274432498-274432498,,25.47574,-76.66148,-04:00,VIIRSNOAA375,WF,20230317,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91689023-274398791,,25.52235,-99.55099,-06:00,HMS_GOES16,WF,20230313,,,,,,,,,,,,,,,,,,34.35813312861272,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91689023-274398791,,25.52235,-99.55099,-06:00,HMS_GOES16,WF,20230313,,,,,,,,,,,,,,,,,,36.298116871387286,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91689023-274398791,,25.52235,-99.55099,-06:00,HMS_GOES16,WF,20230314,,,,,,,,,,,,,,,,,,34.35813312861272,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91689023-274398791,,25.52235,-99.55099,-06:00,HMS_GOES16,WF,20230314,,,,,,,,,,,,,,,,,,36.298116871387286,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91689023-274398791,,25.52235,-99.55099,-06:00,HMS_GOES16,WF,20230315,,,,,,,,,,,,,,,,,,34.35813312861272,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91689023-274398791,,25.52235,-99.55099,-06:00,HMS_GOES16,WF,20230315,,,,,,,,,,,,,,,,,,36.298116871387286,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91689023-274398791,,25.52235,-99.55099,-06:00,HMS_GOES16,WF,20230316,,,,,,,,,,,,,,,,,,34.35813312861272,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91689023-274398791,,25.52235,-99.55099,-06:00,HMS_GOES16,WF,20230316,,,,,,,,,,,,,,,,,,36.298116871387286,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91689023-274398791,,25.52235,-99.55099,-06:00,HMS_GOES16,WF,20230317,,,,,,,,,,,,,,,,,,34.35813312861272,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91689023-274398791,,25.52235,-99.55099,-06:00,HMS_GOES16,WF,20230317,,,,,,,,,,,,,,,,,,36.298116871387286,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274399056-274399056,,25.54391,-99.5565,-06:00,HMS_GOES16,WF,20230313,,,,,,,,,,,,,,,,,,58.8875,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274399056-274399056,,25.54391,-99.5565,-06:00,HMS_GOES16,WF,20230314,,,,,,,,,,,,,,,,,,58.8875,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274399056-274399056,,25.54391,-99.5565,-06:00,HMS_GOES16,WF,20230315,,,,,,,,,,,,,,,,,,58.8875,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274399056-274399056,,25.54391,-99.5565,-06:00,HMS_GOES16,WF,20230316,,,,,,,,,,,,,,,,,,58.8875,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274399056-274399056,,25.54391,-99.5565,-06:00,HMS_GOES16,WF,20230317,,,,,,,,,,,,,,,,,,58.8875,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274435251-274435251,,25.80109,-100.4201,-06:00,VIIRSNOAA375,WF,20230313,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274435251-274435251,,25.80109,-100.4201,-06:00,VIIRSNOAA375,WF,20230314,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274435251-274435251,,25.80109,-100.4201,-06:00,VIIRSNOAA375,WF,20230315,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274435251-274435251,,25.80109,-100.4201,-06:00,VIIRSNOAA375,WF,20230316,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274435251-274435251,,25.80109,-100.4201,-06:00,VIIRSNOAA375,WF,20230317,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274434484-274434484,,25.85964,-98.97957,-06:00,VIIRSNOAA375,WF,20230313,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274434484-274434484,,25.85964,-98.97957,-06:00,VIIRSNOAA375,WF,20230314,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274434484-274434484,,25.85964,-98.97957,-06:00,VIIRSNOAA375,WF,20230315,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274434484-274434484,,25.85964,-98.97957,-06:00,VIIRSNOAA375,WF,20230316,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274434484-274434484,,25.85964,-98.97957,-06:00,VIIRSNOAA375,WF,20230317,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91571293-274435511,,25.9566,-80.9705,-04:00,G16,WF,20230313,,440,440 0.75; 203 0.25,,,,,,,,,,,,,,,146.09882372002593,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91571293-274435511,,25.9568,-80.9911,-04:00,G16,WF,20230313,,440,440 0.75; 203 0.25,,,,,,,,,,,,,,,110.18867627997409,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91571293-274435511,,25.9566,-80.9705,-04:00,G16,WF,20230314,,440,440 0.75; 203 0.25,,,,,,,,,,,,,,,146.09882372002593,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91571293-274435511,,25.9568,-80.9911,-04:00,G16,WF,20230314,,440,440 0.75; 203 0.25,,,,,,,,,,,,,,,110.18867627997409,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91571293-274435511,,25.9566,-80.9705,-04:00,G16,WF,20230315,,440,440 0.75; 203 0.25,,,,,,,,,,,,,,,146.09882372002593,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91571293-274435511,,25.9568,-80.9911,-04:00,G16,WF,20230315,,440,440 0.75; 203 0.25,,,,,,,,,,,,,,,110.18867627997409,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91571293-274435511,,25.9566,-80.9705,-04:00,G16,WF,20230316,,440,440 0.75; 203 0.25,,,,,,,,,,,,,,,146.09882372002593,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91571293-274435511,,25.9568,-80.9911,-04:00,G16,WF,20230316,,440,440 0.75; 203 0.25,,,,,,,,,,,,,,,110.18867627997409,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91571293-274435511,,25.9566,-80.9705,-04:00,G16,WF,20230317,,440,440 0.75; 203 0.25,,,,,,,,,,,,,,,146.09882372002593,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91571293-274435511,,25.9568,-80.9911,-04:00,G16,WF,20230317,,440,440 0.75; 203 0.25,,,,,,,,,,,,,,,110.18867627997409,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91858877-274427127,,25.9286,-97.3771,-06:00,G16,WF,20230313,,175,175 0.75; 437 0.25,,,,,,,,,,,,,,,144.775,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91858877-274427127,,25.9286,-97.3771,-06:00,G16,WF,20230314,,175,175 0.75; 437 0.25,,,,,,,,,,,,,,,144.775,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91858877-274427127,,25.9286,-97.3771,-06:00,G16,WF,20230315,,175,175 0.75; 437 0.25,,,,,,,,,,,,,,,144.775,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91858877-274427127,,25.9286,-97.3771,-06:00,G16,WF,20230316,,175,175 0.75; 437 0.25,,,,,,,,,,,,,,,144.775,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91858877-274427127,,25.9286,-97.3771,-06:00,G16,WF,20230317,,175,175 0.75; 437 0.25,,,,,,,,,,,,,,,144.775,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274414515-274424755,,26.07874,-100.4578,-06:00,VIIRSNOAA375,WF,20230313,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274414515-274424755,,26.07874,-100.4578,-06:00,VIIRSNOAA375,WF,20230314,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274414515-274424755,,26.07874,-100.4578,-06:00,VIIRSNOAA375,WF,20230315,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274414515-274424755,,26.07874,-100.4578,-06:00,VIIRSNOAA375,WF,20230316,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274414515-274424755,,26.07874,-100.4578,-06:00,VIIRSNOAA375,WF,20230317,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274391959-274391959,,26.1053,-98.2851,-06:00,MODISAQUA,WF,20230313,,436,436 1.0,,,,,,,,,,,,,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274391959-274391959,,26.1053,-98.2851,-06:00,MODISAQUA,WF,20230314,,436,436 1.0,,,,,,,,,,,,,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274391959-274391959,,26.1053,-98.2851,-06:00,MODISAQUA,WF,20230315,,436,436 1.0,,,,,,,,,,,,,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274391959-274391959,,26.1053,-98.2851,-06:00,MODISAQUA,WF,20230316,,436,436 1.0,,,,,,,,,,,,,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_274391959-274391959,,26.1053,-98.2851,-06:00,MODISAQUA,WF,20230317,,436,436 1.0,,,,,,,,,,,,,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91726186-274429093,,26.2535,-80.5549,-05:00,G16,WF,20230313,,203,203 1.0,,,,,,,,,,,,,,,150.61666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,
202303070000_202303142359_91726186-274429093,,26.2535,-80.5549,-05:00,G16,WF,20230314,,203,203 1.0,,,,,,,,,,,,,,,150.61666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,
