,id,event_id,latitude,longitude,utc_offset,source,type,date_time,event_name,fccs_number,fuelbed_fractions,heat,pm2.5,pm10,co,co2,ch4,nh3,so2,voc,nox,consumption_total,consumption_flaming,consumption_smoldering,consumption_residual,area,elevation,slope,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,canopy_consumption_pct,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,state,county,country,geometry,index_right,STATEFP,COUNTYFP,GEOID,NAME,FIPS
4701,202309210000_202309272359_116958026-282923501,,39.03511,-111.3601,-06:00,VIIRSNOAA375,WF,20230927,,308.0,308 0.5; 210 0.25; 313 0.25,,,,,,,,,,,,,,,34.46788990825688,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-111.3601 39.03511),169,49,039,49039,Sanpete,49039
4702,202309210000_202309272359_116958026-282923501,,39.03341,-111.3615,-06:00,VIIRSNOAA375,WF,20230927,,308.0,308 0.5; 210 0.25; 313 0.25,,,,,,,,,,,,,,,9.732110091743118,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-111.3615 39.03341),169,49,039,49039,Sanpete,49039
4704,202309210000_202309272359_116958026-282923501,,39.03511,-111.3601,-06:00,VIIRSNOAA375,WF,20230928,,308.0,308 0.5; 210 0.25; 313 0.25,,,,,,,,,,,,,,,34.46788990825688,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-111.3601 39.03511),169,49,039,49039,Sanpete,49039
4705,202309210000_202309272359_116958026-282923501,,39.03341,-111.3615,-06:00,VIIRSNOAA375,WF,20230928,,308.0,308 0.5; 210 0.25; 313 0.25,,,,,,,,,,,,,,,9.732110091743118,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-111.3615 39.03341),169,49,039,49039,Sanpete,49039
4707,202309210000_202309272359_116958026-282923501,,39.03511,-111.3601,-06:00,VIIRSNOAA375,WF,20230929,,308.0,308 0.5; 210 0.25; 313 0.25,,,,,,,,,,,,,,,34.46788990825688,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-111.3601 39.03511),169,49,039,49039,Sanpete,49039
4708,202309210000_202309272359_116958026-282923501,,39.03341,-111.3615,-06:00,VIIRSNOAA375,WF,20230929,,308.0,308 0.5; 210 0.25; 313 0.25,,,,,,,,,,,,,,,9.732110091743118,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-111.3615 39.03341),169,49,039,49039,Sanpete,49039
4710,202309210000_202309272359_116958026-282923501,,39.03511,-111.3601,-06:00,VIIRSNOAA375,WF,20230930,,308.0,308 0.5; 210 0.25; 313 0.25,,,,,,,,,,,,,,,34.46788990825688,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-111.3601 39.03511),169,49,039,49039,Sanpete,49039
4711,202309210000_202309272359_116958026-282923501,,39.03341,-111.3615,-06:00,VIIRSNOAA375,WF,20230930,,308.0,308 0.5; 210 0.25; 313 0.25,,,,,,,,,,,,,,,9.732110091743118,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-111.3615 39.03341),169,49,039,49039,Sanpete,49039
4713,202309210000_202309272359_116958026-282923501,,39.03511,-111.3601,-06:00,VIIRSNOAA375,WF,20231001,,308.0,308 0.5; 210 0.25; 313 0.25,,,,,,,,,,,,,,,34.46788990825688,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-111.3601 39.03511),169,49,039,49039,Sanpete,49039
4714,202309210000_202309272359_116958026-282923501,,39.03341,-111.3615,-06:00,VIIRSNOAA375,WF,20231001,,308.0,308 0.5; 210 0.25; 313 0.25,,,,,,,,,,,,,,,9.732110091743118,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-111.3615 39.03341),169,49,039,49039,Sanpete,49039
5035,202309210000_202309272359_282911152-282918354,,40.0115,-122.123,-07:00,VIIRS750,WF,20230927,,,,,,,,,,,,,,,,,,103.33333333333331,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-122.123 40.0115),133,06,103,06103,Tehama,06103
5036,202309210000_202309272359_282911152-282918354,,40.0115,-122.123,-07:00,VIIRS750,WF,20230928,,,,,,,,,,,,,,,,,,103.33333333333331,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-122.123 40.0115),133,06,103,06103,Tehama,06103
